1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"(9, '199704250ATL')","(13, '199804230CHH')","(2, '199905080ATL')","(13, '200004230IND')","(4, '200104210MIA')","(5, '200204210BOS')","(16, '200304190IND')","(2, '200404180DET')","(16, '200504230DET')","(5, '200604220CLE')","(8, '200704210CHI')","(2, '200804200BOS')","(2, '200904180CLE')","(3, '201004170CLE')","(12, '201104160CHI')","(9, '201204280CHI')","(0, '201304210MIA')","(9, '201404190IND')","(2, '201504190ATL')","(7, '201604170CLE')","(6, '201704160BOS')","(10, '201804140TOR')","(2, '201904140MIL')","(6, '202008180MIL')","(8, '202105220MIL')","(16, '202204170MIL')","(2, '202304160MIL')","(0, '202404210BOS')"
"(11, '199704270ATL')","(15, '199804250CHH')","(5, '199905100ATL')","(4, '200004270IND')","(8, '200104230MIA')","(10, '200204250BOS')","(2, '200304210IND')","(7, '200404210DET')","(5, '200504260DET')","(15, '200604250CLE')","(11, '200704240CHI')","(2, '200804230BOS')","(0, '200904210CLE')","(10, '201004190CLE')","(9, '201104180CHI')","(10, '201205010CHI')","(6, '201304230MIA')","(11, '201404220IND')","(12, '201504220ATL')","(10, '201604200CLE')","(12, '201704180BOS')","(2, '201804170TOR')","(12, '201904170MIL')","(4, '202008200MIL')","(0, '202105240MIL')","(9, '202204200MIL')","(3, '202304190MIL')","(6, '202404240BOS')"
"(3, '199704290DET')","(2, '199804280ATL')","(2, '199905120DET')","(12, '200004290MIL')","(4, '200104270CHH')","(16, '200204280PHI')","(16, '200304240BOS')","(12, '200404240MIL')","(13, '200504290PHI')","(14, '200604280WAS')","(12, '200704270MIA')","(9, '200804260ATL')","(9, '200904240DET')","(2, '201004220CHI')","(6, '201104210IND')","(14, '201205040PHI')","(10, '201304250MIL')","(7, '201404240ATL')","(15, '201504250BRK')","(6, '201604220DET')","(3, '201704210CHI')","(9, '201804200WAS')","(5, '201904200DET')","(3, '202008220ORL')","(2, '202105270MIA')","(2, '202204220CHI')","(7, '202304220MIA')","(3, '202404270MIA')"
"(7, '199705020DET')","(10, '199805010ATL')","(2, '199905140DET')","(4, '200005010MIL')","(7, '200104220MIL')","(7, '200205010PHI')","(16, '200304270BOS')","(7, '200404260MIL')","(9, '200505010PHI')","(13, '200604300WAS')","(8, '200704290MIA')","(13, '200804280ATL')","(8, '200904260DET')","(6, '201004250CHI')","(5, '201104230IND')","(10, '201205060PHI')","(0, '201304280MIL')","(10, '201404260ATL')","(12, '201504270BRK')","(11, '201604240DET')","(20, '201704230CHI')","(14, '201804220WAS')","(12, '201904220DET')","(9, '202008240ORL')","(12, '202105290MIA')","(3, '202204240CHI')","(15, '202304240MIA')","(2, '202404290MIA')"
"(13, '199705040ATL')","(14, '199804240CHI')","(8, '199905160ATL')","(10, '200005040IND')","(9, '200104250MIL')","(10, '200205030BOS')","(10, '200304290IND')","(4, '200404290DET')","(7, '200505030DET')","(8, '200605030CLE')","(2, '200704220CLE')","(3, '200804300BOS')","(11, '200904180BOS')","(12, '201004270CLE')","(0, '201104260CHI')","(6, '201205080CHI')","(7, '201304200NYK')","(5, '201404280IND')","(0, '201504290ATL')","(8, '201604160TOR')","(8, '201704260BOS')","(7, '201804250TOR')","(16, '201904130TOR')","(10, '202008290MIL')","(12, '202105220LAC')","(3, '202204270MIL')","(16, '202304260MIL')","(5, '202405010BOS')"
"(6, '199704250CHI')","(4, '199804260CHI')","(7, '199905090IND')","(9, '200004220MIA')","(14, '200104280ORL')","(13, '200204200CHH')","(0, '200305010BOS')","(7, '200404170IND')","(8, '200504230BOS')","(14, '200605050WAS')","(7, '200704250CLE')","(12, '200805020ATL')","(12, '200904200BOS')","(3, '201004180ORL')","(14, '201104160MIA')","(12, '201205100PHI')","(9, '201304230NYK')","(10, '201405010ATL')","(2, '201505010BRK')","(2, '201604180TOR')","(0, '201704280CHI')","(12, '201804270WAS')","(0, '201904160TOR')","(0, '202008170TOR')","(9, '202105250LAC')","(13, '202204160MEM')","(12, '202304150CLE')","(0, '202404200CLE')"
"(8, '199704270CHI')","(5, '199804290NJN')","(13, '199905110IND')","(10, '200004250MIA')","(16, '200105010ORL')","(17, '200204230CHH')","(4, '200304200DET')","(9, '200404200IND')","(11, '200504250BOS')","(7, '200604230DET')","(17, '200704280WAS')","(3, '200805040BOS')","(0, '200904230CHI')","(0, '201004210ORL')","(0, '201104180MIA')","(3, '201204280MIA')","(2, '201304260BOS')","(6, '201405030IND')","(8, '201504190CLE')","(3, '201604210IND')","(12, '201704150CLE')","(12, '201804150BOS')","(11, '201904190ORL')","(14, '202008190TOR')","(19, '202105280DAL')","(4, '202204190MEM')","(8, '202304180CLE')","(5, '202404220CLE')"
"(12, '199704300WSB')","(2, '199804230IND')","(9, '199905130MIL')","(11, '200004290DET')","(18, '200104210PHI')","(14, '200204270ORL')","(0, '200304230DET')","(6, '200404230BOS')","(4, '200504280IND')","(2, '200604260DET')","(9, '200704300WAS')","(15, '200804200DET')","(7, '200904260CHI')","(9, '201004240CHA')","(10, '201104210PHI')","(8, '201204300MIA')","(20, '201304280BOS')","(11, '201404200MIA')","(9, '201504210CLE')","(0, '201604230IND')","(5, '201704170CLE')","(13, '201804170BOS')","(8, '201904210ORL')","(3, '202008210BRK')","(4, '202105300DAL')","(26, '202204210MIN')","(5, '202304210NYK')","(7, '202404250ORL')"
"(0, '199704240MIA')","(17, '199804250IND')","(2, '199905080MIA')","(19, '200004230NYK')","(6, '200104240PHI')","(7, '200204300ORL')","(11, '200304250ORL')","(7, '200404250BOS')","(5, '200504300IND')","(6, '200604290MIL')","(0, '200704210DET')","(2, '200804230DET')","(11, '200904280BOS')","(11, '201004260CHA')","(16, '201104240PHI')","(11, '201205030NYK')","(11, '201305010NYK')","(3, '201404230MIA')","(9, '201504230BOS')","(17, '201604260TOR')","(26, '201704200IND')","(2, '201804200MIL')","(0, '201904230TOR')","(6, '202008230BRK')","(10, '202106020LAC')","(7, '202204230MIN')","(15, '202304230NYK')","(10, '202404270ORL')"
"(5, '199704270MIA')","(9, '199804270CLE')","(3, '199905100MIA')","(16, '200004260NYK')","(15, '200104280IND')","(3, '200204210DET')","(10, '200304270ORL')","(12, '200404180MIA')","(2, '200505030BOS')","(15, '200605010MIL')","(3, '200704230DET')","(6, '200804250PHI')","(13, '200904300CHI')","(4, '201004170ATL')","(11, '201104270MIA')","(11, '201205060NYK')","(2, '201305030BOS')","(7, '201404260CHA')","(3, '201504260BOS')","(12, '201604290IND')","(13, '201704230IND')","(20, '201804220MIL')","(5, '201904130PHI')","(11, '202008170BOS')","(9, '202106040DAL')","(13, '202204260MEM')","(4, '202304260CLE')","(10, '202404300CLE')"
