1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"(14, '199704250ATL')","(13, '199804230CHH')","(22, '199905080ATL')","(13, '200004230IND')","(28, '200104210MIA')","(17, '200204210BOS')","(16, '200304190IND')","(30, '200404180DET')","(23, '200504230DET')","(19, '200604220CLE')","(13, '200704210CHI')","(27, '200804200BOS')","(20, '200904180CLE')","(22, '201004170CLE')","(12, '201104160CHI')","(20, '201204280CHI')","(25, '201304210MIA')","(20, '201404190IND')","(16, '201504190ATL')","(9, '201604170CLE')","(9, '201704160BOS')","(12, '201804140TOR')","(43, '201904140MIL')","(18, '202008180MIL')","(8, '202105220MIL')","(16, '202204170MIL')","(15, '202304160MIL')","(34, '202404210BOS')"
"(15, '199704270ATL')","(15, '199804250CHH')","(23, '199905100ATL')","(31, '200004270IND')","(32, '200104230MIA')","(10, '200204250BOS')","(18, '200304210IND')","(15, '200404210DET')","(22, '200504260DET')","(15, '200604250CLE')","(21, '200704240CHI')","(24, '200804230BOS')","(29, '200904210CLE')","(10, '201004190CLE')","(9, '201104180CHI')","(24, '201205010CHI')","(19, '201304230MIA')","(27, '201404220IND')","(12, '201504220ATL')","(19, '201604200CLE')","(19, '201704180BOS')","(23, '201804170TOR')","(21, '201904170MIL')","(23, '202008200MIL')","(36, '202105240MIL')","(18, '202204200MIL')","(36, '202304190MIL')","(12, '202404240BOS')"
"(16, '199704290DET')","(38, '199804280ATL')","(22, '199905120DET')","(15, '200004290MIL')","(27, '200104270CHH')","(16, '200204280PHI')","(24, '200304240BOS')","(12, '200404240MIL')","(13, '200504290PHI')","(14, '200604280WAS')","(12, '200704270MIA')","(15, '200804260ATL')","(17, '200904240DET')","(21, '201004220CHI')","(6, '201104210IND')","(14, '201205040PHI')","(17, '201304250MIL')","(15, '201404240ATL')","(15, '201504250BRK')","(10, '201604220DET')","(20, '201704210CHI')","(22, '201804200WAS')","(24, '201904200DET')","(34, '202008220ORL')","(32, '202105270MIA')","(37, '202204220CHI')","(29, '202304220MIA')","(29, '202404270MIA')"
"(20, '199705020DET')","(12, '199805010ATL')","(26, '199905140DET')","(31, '200005010MIL')","(13, '200104220MIL')","(7, '200205010PHI')","(16, '200304270BOS')","(17, '200404260MIL')","(9, '200505010PHI')","(13, '200604300WAS')","(13, '200704290MIA')","(13, '200804280ATL')","(21, '200904260DET')","(29, '201004250CHI')","(18, '201104230IND')","(10, '201205060PHI')","(16, '201304280MIL')","(10, '201404260ATL')","(12, '201504270BRK')","(11, '201604240DET')","(20, '201704230CHI')","(14, '201804220WAS')","(31, '201904220DET')","(19, '202008240ORL')","(19, '202105290MIA')","(24, '202204240CHI')","(15, '202304240MIA')","(28, '202404290MIA')"
"(13, '199705040ATL')","(14, '199804240CHI')","(14, '199905160ATL')","(10, '200005040IND')","(11, '200104250MIL')","(36, '200205030BOS')","(10, '200304290IND')","(17, '200404290DET')","(11, '200505030DET')","(8, '200605030CLE')","(17, '200704220CLE')","(25, '200804300BOS')","(11, '200904180BOS')","(12, '201004270CLE')","(28, '201104260CHI')","(15, '201205080CHI')","(7, '201304200NYK')","(30, '201404280IND')","(17, '201504290ATL')","(13, '201604160TOR')","(15, '201704260BOS')","(13, '201804250TOR')","(16, '201904130TOR')","(21, '202008290MIL')","(12, '202105220LAC')","(29, '202204270MIL')","(16, '202304260MIL')","(37, '202405010BOS')"
"(15, '199704250CHI')","(21, '199804260CHI')","(22, '199905090IND')","(15, '200004220MIA')","(14, '200104280ORL')","(13, '200204200CHH')","(27, '200305010BOS')","(29, '200404170IND')","(37, '200504230BOS')","(14, '200605050WAS')","(15, '200704250CLE')","(12, '200805020ATL')","(12, '200904200BOS')","(22, '201004180ORL')","(16, '201104160MIA')","(12, '201205100PHI')","(16, '201304230NYK')","(10, '201405010ATL')","(28, '201505010BRK')","(19, '201604180TOR')","(30, '201704280CHI')","(12, '201804270WAS')","(34, '201904160TOR')","(33, '202008170TOR')","(14, '202105250LAC')","(13, '202204160MEM')","(12, '202304150CLE')","(20, '202404200CLE')"
"(9, '199704270CHI')","(20, '199804290NJN')","(13, '199905110IND')","(10, '200004250MIA')","(16, '200105010ORL')","(17, '200204230CHH')","(12, '200304200DET')","(16, '200404200IND')","(11, '200504250BOS')","(20, '200604230DET')","(17, '200704280WAS')","(38, '200805040BOS')","(34, '200904230CHI')","(20, '201004210ORL')","(28, '201104180MIA')","(37, '201204280MIA')","(21, '201304260BOS')","(18, '201405030IND')","(20, '201504190CLE')","(23, '201604210IND')","(12, '201704150CLE')","(12, '201804150BOS')","(17, '201904190ORL')","(14, '202008190TOR')","(19, '202105280DAL')","(32, '202204190MEM')","(29, '202304180CLE')","(22, '202404220CLE')"
"(12, '199704300WSB')","(31, '199804230IND')","(10, '199905130MIL')","(25, '200004290DET')","(18, '200104210PHI')","(14, '200204270ORL')","(22, '200304230DET')","(26, '200404230BOS')","(25, '200504280IND')","(19, '200604260DET')","(9, '200704300WAS')","(15, '200804200DET')","(7, '200904260CHI')","(9, '201004240CHA')","(10, '201104210PHI')","(15, '201204300MIA')","(20, '201304280BOS')","(20, '201404200MIA')","(14, '201504210CLE')","(25, '201604230IND')","(19, '201704170CLE')","(20, '201804170BOS')","(25, '201904210ORL')","(31, '202008210BRK')","(28, '202105300DAL')","(26, '202204210MIN')","(27, '202304210NYK')","(43, '202404250ORL')"
"(37, '199704240MIA')","(17, '199804250IND')","(30, '199905080MIA')","(19, '200004230NYK')","(19, '200104240PHI')","(19, '200204300ORL')","(11, '200304250ORL')","(21, '200404250BOS')","(34, '200504300IND')","(26, '200604290MIL')","(16, '200704210DET')","(28, '200804230DET')","(11, '200904280BOS')","(11, '201004260CHA')","(16, '201104240PHI')","(19, '201205030NYK')","(15, '201305010NYK')","(16, '201404230MIA')","(11, '201504230BOS')","(17, '201604260TOR')","(26, '201704200IND')","(28, '201804200MIL')","(37, '201904230TOR')","(33, '202008230BRK')","(16, '202106020LAC')","(15, '202204230MIN')","(15, '202304230NYK')","(30, '202404270ORL')"
"(32, '199704270MIA')","(9, '199804270CLE')","(14, '199905100MIA')","(16, '200004260NYK')","(15, '200104280IND')","(29, '200204210DET')","(19, '200304270ORL')","(12, '200404180MIA')","(15, '200505030BOS')","(15, '200605010MIL')","(15, '200704230DET')","(24, '200804250PHI')","(13, '200904300CHI')","(24, '201004170ATL')","(11, '201104270MIA')","(11, '201205060NYK')","(26, '201305030BOS')","(26, '201404260CHA')","(21, '201504260BOS')","(28, '201604290IND')","(13, '201704230IND')","(20, '201804220MIL')","(17, '201904130PHI')","(11, '202008170BOS')","(10, '202106040DAL')","(13, '202204260MEM')","(18, '202304260CLE')","(10, '202404300CLE')"
